_id,gene_name,symbol
150,sucrose-phosphatase,LOC543710
151,cell-wall invertase,LIN7
152,TK1-like deoxyribonucleoside kinase,LOC543715
153,5-formyltetrahydrofolate cycloligase,LOC543718
154,PYD1A protein,PYD1A
155,MAP kinase kinase,mek1
156,CycD3;2 protein,CycD3;2
157,CycD3;3 protein,CycD3;3
158,subtilisin-like protease,sbt3
159,subtilisin-like protease,sbt4a
160,hexose transporter protein,LOC543728
161,tomato invertase inhibitor,LOC543729
162,B-type cyclin,cycB1.1
163,sucrose synthase,sus3
164,THY5 protein,HY5
165,hexose transporter 1,ht1
166,hexose transporter 3,ht3
167,uncharacterized LOC543739,LOC543739
168,extensin-like protein,LOC543740
169,gamma-thionin,LOC543741
170,I-box binding factor,MYBI
171,cyclin A1,CycA1
172,cyclin A2,CycA2
173,cyclin B1,CycB1
174,cyclin B2,CycB2
175,cyclin D3.1,cycD3
176,Rab11 GTPase,Rab11a
177,auxin-responsive protein (Aux/IAA),ctd1
178,aminoacylase-1,ctd3
179,ribosomal protein L17,l17
180,dad-1 protein,DAD1
181,SANT/MYB domain protein,fsm1
182,vacuolar-type H+-pyrophosphatase,vp1.1
183,opr2 protein,opr2
184,12-oxophytodienoate reductase 3,opr3
185,3-desoxy-D-manno octulosonic acid-8-phosphate synthase,kdsA
186,B1-type cyclin dependent kinase,cdkB1
187,B2-type cyclin dependent kinase,cdkB2
188,MADS-box protein,TM29
189,"Na+/H+ antiporter, isoform 1",NHX1
190,Xaa-Pro aminopeptidase 1,app1
191,Xaa-Pro aminopeptidase 2,app2
192,SPY protein,spy
193,"alpha-1,4-fucosyltransferase",FUT13
194,protein tyrosine phosphatase,ptpkis1
195,asc-1 protein,asc-1
196,profilin protein,profilin
197,p27KIP1-related-protein 1,krp1
198,p27KIP1-related-protein 2,krp2
199,psi14B protein,psi14B
200,14-3-3 protein,tft4
201,Mitogen-activated protein kinase,mpka1;1
202,wuschel protein,wus
203,expansin11,exp11
204,beta3-glucuronyltransferase,b3gat3
205,IDS4-like protein,ail
206,1-aminocyclopropane-1-carboxylate oxidase,aco5
207,steroid 5 alpha reductase DET2,det2
208,"1,4-alpha-glucan-maltohydrolase",bmy3
209,malate dehydrogenase,mdh
210,alpha-dioxygenase 2,alpha-DOX2
211,arginine decarboxylase,adc1
212,copper-containing amine oxidase,cuAO
213,INS-1P protein,INS-1P
214,RUB1 conjugating enzyme,RCE1
215,phosphoenolpyruvate carboxykinase,LOC543812
216,uncharacterized LOC543813,LOC543813
217,uncharacterized LOC543814,LOC543814
218,uncharacterized LOC543815,LOC543815
219,uncharacterized LOC543816,LOC543816
220,uncharacterized LOC543817,LOC543817
221,phospholipase PLDa1,PLDa1
222,phospholipase PLDa3,PLDa3
223,phospholipase PLDb2,PLDb2
224,non-symbiotic hemoglobin class 2,Glb2
225,alternative oxidase 1a,LOC543824
226,alternative oxidase 1b,LOC543825
227,CBF1 protein,CBF1
228,NRT2;3 protein,NRT2;3
229,endo-beta-mannanase,MAN4
230,profilin,LOC543830
231,GTP cyclohydrolase I,LOC543831
232,molybdenum cofactor sulfurase,FLACCA
233,ethylene receptor-like protein,ETR6
234,N-hydroxycinnamoyl-CoA:tyramine N-hydroxycinnamoyl transferase THT7-1,THT7-1
235,PR-5x,PR-5
236,phosphatidylserine decarboxylase,LOC543838
237,TDR4 transcription factor,LeFUL1
238,TAG1 transcription factor,LOC543840
239,TAGL1 transcription factor,LOC543841
240,TAGL11 transcription factor,LOC543842
241,TAGL2 transcription factor,LOC543843
242,fructokinase,FRK4
243,metacaspase 1,MCA1
244,small heat shock protein,vis1
245,ovate protein,LOC543847
246,type I small heat shock protein 17.6 kDa isoform,LOC543848
247,type 5 serine/threonine phosphatase 55 kDa isoform,PP5
248,kinesin light chain I2I isoform,Klc-I2I
249,translin-associated factor X,Trax
250,WRKY transcription factor IId-2,WRKYIId-2
251,WRKY transcription factor IId-6,WRKYIId-6
252,mitogen-activated protein kinase 10,MAPK10
253,succinyl-CoA ligase alpha 1 subunit,SCOA
254,vacuolar H+-ATPase A1 subunit isoform,LOC543861
255,vacuolar H+-ATPase A2 subunit isoform,LOC543862
256,succinyl CoA ligase beta subunit,LOC543863
257,phosphoenolpyruvate carboxylase kinase 2,PPCK2
258,ethylene response factor 2,ERF2
259,ethylene response factor 4,ERF4
260,root-specific metal transporter,NRAMP1
261,biotin carboxylase carrier protein,BCCP1
262,SNF1-related protein kinase,LOC543870
263,ferric-chelate reductase,FRO1
264,P58IPK,LOC543872
265,gamma-aminobutyrate transaminase subunit precursor isozyme 1,GABA-TP1
266,gamma-aminobutyrate transaminase subunit precursor isozyme 2,GABA-TP2
267,asparagine synthetase,AS1
268,SNF1 kinase complex anchoring protein,GAL83
269,copper chaperone,CCH
270,mitogen-activated protein kinase 2,MPK2
271,mitogen-activated protein kinase 3,MPK3
272,GAI-like protein,GAI
273,defense-signaling glycopeptide hormone precursor,LOC543883
274,MADS-box protein 1,LOC543884
275,MADS-box protein 5,LOC543885
276,euAP1 APETALA1-like MADS-box,AP1
277,euFUL FRUITFULL-like MADS-box,FUL2
278,Dem2 protein,Dem2
279,alternative oxidase 2,LOC543892
280,alternative oxidase 1c,LOC543893
281,SPM1 protein,SPM1
282,alpha-DOX1,LOC543895
283,alpha-DOX2,LOC543896
284,anthocyanin 1,ANT1
285,CHI protein,CHI
286,uncharacterized LOC543899,LOC543899
287,EIX receptor 1,Eix1
288,molecular chaperone Hsp90-1,Hsp90-1
289,molecular chaperone Hsp90-2,HSC80
290,Stig1 protein,Stig1
291,leucine rich repeat protein,Shy
292,CTR1-like protein kinase,CTR3
293,CTR1-like protein kinase,CTR4
294,JERF3,LOC543910
295,coronatine-insensitive 1,Coi1
296,aminodeoxychorismate synthase/glutamine amidotransferase,LOC543912
297,xyloglucan endotransglucosylase-hydrolase XTH5,XTH5
298,xyloglucan endotransglucosylase-hydrolase XTH3,XTH3
299,xyloglucan endotransglucosylase-hydrolase XTH7,XTH7
300,xyloglucan endotransglucosylase-hydrolase XTH9,XTH9
301,NAC domain protein,NAC1
302,MAP3Ka,LOC543918
303,cystathionine gamma synthase,LOC543920
304,alcohol acyl transferase,AAT
305,protein phosphatase 2C,DIG3
306,nucleic acid-binding protein,LOC543925
307,ethylene response factor 5,ERF5
308,Nramp2 protein,Nramp2
309,ethylene signaling protein,EIN2
310,acyl carrier protein,LOC543929
311,photosystem II oxygen-evolving complex protein 3,PsbQ
312,carotenoid cleavage dioxygenase 1-1,CCD1-1
313,AML1,AML1
314,UDP-glucose:protein transglucosylase-like protein SlUPTG1,LOC543938
315,NIM1-like protein 1,NML1
316,succinyl-CoA ligase alpha 2 subunit,LOC543943
317,arginase 1,ARG1
318,glucose-6-phosphate isomerase,GPI
319,MAPKK,MKK2
320,MAPKK,MKK3
321,MAPKK,MKK4
322,centromere protein C 1,CENPC1
323,TIP protein,TIP
324,AvrPto-dependent Pto-interacting protein 3,Adi3
325,proteinase inhibitor I,ER1
326,wound-induced proteinase inhibitor I prepropeptide,PIIF
327,wound-induced proteinase inhibitor II prepeptide,LOC543955
328,abscisic stress ripening protein 1,ASR1
329,GTPase,SAR2
330,peroxidase,TPX2
331,arginine decarboxylase,LOC543960
332,sucrose synthase,LOC543961
333,proteinase inhibitor,ARPI
334,RSI-1 protein,RSI-1
335,phytoene synthase,PSY2
336,14-3-3 protein homologue,TFT3
337,clp-like energy-dependent protease,LOC543966
338,"glutamate 1-semialdehyde 2,1-aminomutase",LOC543967
339,ADP-glucose pyrophosphorylase small subunit,LOC543968
340,aspartic protease precursor,LOC543969
341,chorimate mutase,LOC543970
342,osmotin-like protein,LOC543971
343,metallothionein II-like protein,MTA
344,"ribulose-1,5-bisphosphate carboxylase, small subunit precursor",RBCS-1
345,"ribulose-1,5-bisphosphate carboxylase, small subunit precursor",RBCS-2A
346,chlorophyll a/b-binding protein precursor,CAB4
347,chlorophyll a/b-binding protein precursor,LOC543976
348,5-enolpyruvylshikimate-3-phosphate synthase,LOC543977
349,photosystem I subunit II protein precursor,psaD
350,NP24 protein precursor,NP24
351,fruit-specific protein,2A11
352,superoxide dismutase (SOD),SODCP.2
353,H+-ATPase,LHA1
354,threonine deaminase,Td
355,G protein alpha subunit,GPA1
356,"beta-1,3-glucanase",LOC543986
357,"beta-1,3-glucanase",LOC543987
358,phytoene synthetase,Psy1
359,prosystemin,systemin
360,catalase,cat1
361,polygalacturonase isoenzyme 1 beta subunit,GP1
362,acid invertase,AI
363,biotin-containing subunit of methylcrotonyl-CoA carboxylase,BCCP
364,lipoxygenase,LOX1.1
365,"endo-1,4-beta-glucanase precursor",Cel1
366,"endo-1,4-beta-glucanase precursor",Cel2
367,lipoxygenase,LOXB
368,glutamine synthetase,gs
369,"endo-1,4-beta-glucanase precursor",cellulase
370,flower-specific gamma-thionin-like protein/acidic protein precursor,LOC544000
371,uncharacterized LOC544001,LOC544001
372,uncharacterized LOC544002,LOC544002
373,DNA repair protein RAD51,RAD51
374,polygalacturonase precursor,LOC544004
375,Pto kinase interactor 1,Pti1
376,Knotted 1 (TKn1),KN1
377,lipoxygenase,loxC
378,lipoxygenase,loxD
379,small GTP-binding protein,Rab1A
380,myo-inositol monophosphatase 3,IMP3
381,myo-inositol monophosphatase 2,IMP2
382,glutamate dehydrogenase,gdh1
383,pectin methylesterase,PMEU1
384,leucine aminopeptidase,lap2
385,profilin,Pro1
386,defective chloroplasts and leaves; required for chloroplast development and palisade cell differentiation in leaves,DCL
387,receptor-like protein kinase,PRK2
388,receptor-like protein kinase,PRK1
389,fructokinase,FRK2
390,fructokinase,Frk1
391,heat shock protein,HSP21
392,heat shock induced transcript 2,HCIT2
393,E4/E8 binding protein-1,LOC544026
394,abscission polygalacturonase,TAPG4
395,1-aminocyclopropane-1-carboxylate synthase,ACS1A
396,homeobox 2 protein,THox2
397,ethylene-responsive late embryogenesis-like protein,ER5
398,"endo-1,4-beta-glucanase",Cel3
399,ADP-glucose pyrophosphorylase large subunit,AGP-S2
400,non-specific lipid transfer protein,LE16
401,expansin,EXP1
402,farnesyl protein transferase subunit A,FTA
403,farnesyl protein transferase subunit B,FTB
404,self-pruning protein,sp
405,ADP-glucose pyrophosphorylase large subunit,agpL3
406,VPS41,tVPS41
407,Pti4,LOC544041
408,Pti5,LOC544042
409,Pti6,LOC544043
410,ADP/ATP translocator,LOC544050
411,precursor polypeptide (AA -71 to 386),PG2
412,1-aminocyclopropane-1-carboxylate oxidase 1,ACO1
413,pre-plastocyanin (AA -64 to 106),LOC544053
414,Cu-Zn superoxide dismutase (AA 1-152),SODCC.1
415,EF 1-alpha (AA 1-448),LOC544055
416,TAS14 peptide (AA 1-130),TAS14
417,33 kDa oxygen-evolving protein,LOC544057
418,extensin (class I),LOC544058
419,extensin (class I),LOC544059
420,extensin (class II),LOC544060
421,glycine-rich protein,LOC544061
422,glycine-rich protein,LOC544062
423,glycine-rich protein,LOC544063
424,glycine-rich protein,LOC544064
425,acid phosphatase,APS1
426,TSW12 protein,TSW12
427,proline rich protein,TPRP-F1
428,enolase,PGH1
429,pathogenesis-related protein P2,PR-P2
430,wound induced protein,LOC544070
431,glycine-rich protein,LOC544071
432,wound induced protein,LOC544072
433,phytoene desaturase,pds
434,alcohol dehydrogenase,ADH2
435,TDR3 protein,TDR3
436,TDR8 protein,TDR8
437,photosystem II 23 kDa protein,PSBP
438,shikimate kinase precursor,SK
439,ribosomal protein L2,RPL8
440,histone H4,LOC544080
441,histone H4,LOC544081
442,pathogenesis-related protein PR P23,pr p23
443,PR-1a1 protein,PR-1a1
444,peroxidase,CEVI-1
445,histidine decarboxylase,hdc
446,tomato ripening associated membrane protein,LOC544086
447,cathepsin D inhibitor protein,LOC544087
448,aspartate carbamoyltransferase,LOC544088
449,Mg-dependent ATPase 1,TBP1
450,pectin esterase,PME1.9
451,"glucan endo-1,3-beta-D-glucosidase",Q`a
452,"glucan endo-1,3-beta-D-glucosidase",Q`b
453,G-box binding protein,GBF12
454,G-box binding protein,GBF9
455,nucleoside diphosphate kinase,LOC544095
456,ribosomal protein S25,RPS25
457,cell wall protein,LOC544097
458,ribonuclease,rnale
459,sucrose transporter,SUT1
460,xyloglycan endo-transglycosylase,tXET-B2
461,xyloglucan endo-transglycosylase,tXET-B1
462,histone H3 variant H3.3,LOC544102
463,lycopene beta-cyclase,LCY1
464,HD-ZIP protein,THOM1
465,lipid desaturase-like protein,cevi19
466,proteinase inhibitor II,cevi57
467,homeobox,VAHOX1
468,ammonium transporter,AMT1-2
469,subtilisin-like endoprotease,PR-P69
470,potassium channel,LKT1
471,myb-related transcription factor,THM18
472,14-3-3 protein,tft8
473,14-3-3 protein,tft9
474,14-3-3 protein,tft10
475,SBT1 protein,SBT1
476,SBT2 protein,SBT2
477,myb-related transcription factor,THM16
478,extensin-like protein Dif10,Dif10
479,MFP1 protein,MFP1
480,PR protein,PR1b1
481,RNA-directed RNA polymerase,RdRP
482,dhbK protein,dhbK
483,uncharacterized LOC544127,TCTR1
484,proteasome alpha subunit,PAD1
485,glutathione peroxidase,GPXle-2
486,calmodulin,N6
487,cullin 4,cul4
488,uncharacterized LOC544138,LOC544138
489,cyclin-dependent protein kinase p34cdc2,cdc2A-1
490,cyclin-dependent protein kinase p34cdc2,cdc2A-2
491,beta-alanine synthase,CPA
492,H1 histone-like protein,LOC544142
493,pre-pro-cysteine proteinase,LOC544144
494,108 protein,LOC544145
495,chitinase,CHI14
496,chitinase,CHI17
497,chitinase,CHI9
498,chitinase,CHI3
499,dihydroflavonol 4-reductase,LOC544150
500,chorismate synthase 2,CS2
501,phospho-2-dehydro-3-deoxyheptonate aldolase,LOC544152
502,phospho-2-dehydro-3-deoxyheptonate aldolase,LOC544153
503,chorismate synthase 1,CS1
504,S-adenosyl-L-methionine synthetase,SAM1
505,54-kD signal recognition particle (SRP) specific protein,LOC544156
506,late embryogenesis (Lea)-like protein,LOC544157
507,extensin,LOC544158
508,extensin,LOC544159
509,uncharacterized LOC544160,LOC544160
510,glyoxalase-I,GLX1
511,zeaxanthin epoxidase,LOC544162
512,NADP-malic enzyme,ME1
513,IAA8 protein,IAA8
514,beta-galactosidase precursor,TBG1
515,ethylene-responsive transcriptional coactivator,ER24
516,(1-4)-beta-mannan endohydrolase precursor,MAN5
517,calmodulin-binding diacylglycerol kinase,DGK1
518,ripening regulated protein DDTFR19,DDTFR19
519,receptor-like protein kinase 3,PRK3
520,UDP-galactose:myo-inositol galactosyltransferase,GolS-1
521,cell-wall invertase,LIN8
522,alternative transcript type 3,phyA
523,spermidine synthase,spdsyn
524,"Na+/H+ antiporter, isoform 2",NHX2
525,psi14A protein,psi14A
526,anaerobic basic leucine zipper protein,abz1
527,phospholipase PLDb1,PLDb1
528,transcription factor JERF1,JERF1
529,protein phosphatase 2A catalytic subunit,PP2Ac1
530,3-phosphoinositide-dependent protein kinase-1,Pdk1
531,pathogenesis-related protein P4,P4
532,TPSI1 protein,TPSI1
533,abscission polygalacturonase,TAPG2
534,APS-AA2 protein,APS-AA2
535,TDR4 protein,TDR4
536,vsf-1 protein,vsf-1
537,ribonuclease,rnalx
538,transcription factor,THM1
539,arabinogalactan,AGP-1c
540,dem protein,dem
541,glutathione peroxidase,GPXle-1
542,homeodomain protein,h52
543,(1-4)-beta-mannan endohydrolase,MAN1
544,omega-3 fatty acid desaturase,Fad7
545,AREB-like protein,AREB
546,small heat shock protein,er-sHSP
547,amino acid transporter,AAP2
548,IAA5 protein,IAA5
549,ornithine decarboxylase,ODC
550,plant resistance protein,Mi-1.1
551,gibberellin 20-oxidase-2,20ox-2
552,expansin,EXPA6
553,14-3-3 family protein,TFT7
554,ethylene-responsive elongation factor EF-Ts precursor,ER49
555,ethylene-responsive RNA helicase,ER68
556,mRNA binding protein precursor,LOC544217
557,cryptochrome 1,LOC544219
558,1-D-deoxyxylulose 5-phosphate synthase,dxs
559,wound-inducible carboxypeptidase,LOC544223
560,receptor-like protein kinase,PRK4
561,peptide deformylase-like protein,PDF1A
562,myo-inositol-1-phosphate synthase,Inps
563,eukaryotic translation initiation factor 5A-4,eIF-5A4
564,EIL2 protein,EIL2
565,verticillium wilt disease resistance protein Ve2,Ve2
566,heterochromatin protein 1-like protein,LHP1
567,lecithine cholesterol acyltransferase-like protein,LOC544234
568,12-oxophytodienoate reductase,OPR1
569,cyclin A3,CycA3
570,beta-fructofuranosidase,lin5
571,cyclin dependent kinase C,CDKC
572,calcium-dependent protein kinase,cpk1
573,GDP dissociation inhibitor,GDI1
574,extensin-like protein Ext1,ext1
575,hydroxycinnamoyl CoA quinate transferase,hqt
576,phospholipase PLDa2,PLDa2
577,inactive endo-beta-mannanase,LOC544253
578,N-hydroxycinnamoyl-CoA:tyramine N-hydroxycinnamoyl transferase THT1-3,THT1-3
579,TDR6 transcription factor,TDR6
580,TAGL12 transcription factor,LOC544256
581,metal transporter,NRAMP3
582,gamma-aminobutyrate transaminase subunit precursor isozyme 3,GABA-TP3
583,iron superoxide dismutase,FESOD
584,ethylene response factor 2,LOC544260
585,phospholipid hydroperoxide glutathione peroxidase,LOC544261
586,protein phosphatase 2A catalytic subunit,PP2Ac2
587,dihydroneopterin aldolase,LOC544263
588,methylesterase,LOC544264
589,xyloglucan endotransglucosylase-hydrolase XTH6,XTH6
590,arachidonic acid-induced DEA1,Dea1
591,carotenoid cleavage dioxygenase 1-2,CCD1-2
592,NIM1-like protein 2,NML2
593,arginase 2,ARG2
594,endo-xyloglucan transferase,XTH1
595,dehydroquinate synthase,LOC544273
596,deoxyuridine triphosphatase,P18
597,glutamine synthetase,LOC544275
598,isocitrate lyase,LOC544276
599,leucine aminopeptidase,LAPA2
600,RNA polymerase II subunit 2,rpb2
601,ethylene receptor,Never-ripe
602,myo-inositol monophosphatase 1,IMP1
603,class II small heat shock protein Le-HSP17.6,LOC544282
604,ADP-glucose pyrophosphorylase large subunit,AGP-S1
605,glycine-rich protein,LOC544284
606,ethylene-forming enzyme,ACO4
607,metallocarboxypeptidase inhibitor,mcpi
608,ribosomal protein L38,rpl38
609,GTP-binding protein,ypt2
610,pectin esterase,PME2.1
611,G-box binding protein,GBF4
612,ribosomal protein L37,LOC544291
613,ubiquitin conjugating enzyme,UBC1
614,peroxidase,cevi16
615,transcription factor,THM27
616,extensin-like protein Dif54,Dif54
617,subtilisin-like protease,P69B
618,beta-carotene hydroxylase,CrtR-b2
619,gluaredoxin,LOC544298
620,33kDa precursor protein of oxygen-evolving complex,PSBO
621,5B protein,LOC544301
622,S-adenosyl-L-methionine synthetase,SAM3
623,allene oxide cyclase,aoc
624,N-hydroxycinnamoyl-CoA:tyramine N-hydroxycinnamoyl transferase THT7-8,THT7-8
625,GDP-mannose pyrophosphorylase,GMP
626,involved in inorganic sulfate assimilation,LOC544309
627,chlorophyll a/b binding protein precursor,CAB6A
628,polygalacturonase,LOC544311
629,expressed predominantly in leaves,LOC544312
630,glutamate decarboxylase,LOC544313
631,ethylene receptor homolog,ETR1
632,ethylene receptor homolog,ETR2
633,1-aminocyclopropane-1-carboxylate synthase,ACS6
634,ripening-related ACC synthase 2,ACS2
635,uncharacterized LOC606305,LOC606305
636,ethylene-responsive factor 1,ERF1
637,ethylene response factor 1,ERF1
638,uncharacterized LOC778198,LOC778198
639,uncharacterized LOC778199,LOC778199
640,peroxisomal acyl-CoA oxidase 1B,Acx1B
641,ABI3 protein,ABI3
642,mycorrhiza-inducible inorganic phosphate transporter,PT4
643,pollen-specific kinase partner protein-like protein,LOC778206
644,glycosyltransferase,pglcat8
645,plasmalemma Na+/H+ antiporter,sos1
646,hexokinase,HXK3
647,plastidic hexokinase,HXK4
648,senescence-inducible chloroplast stay-green protein 1,SGR1
649,xyloglucan endotransglycosylase/hydrolase 16 protein,XTH16
650,ACI13 protein,ACI13
651,oxoglutarate/malate translocator,ACI36
652,ACI14 protein,ACI14
653,cytosolic ascorbate peroxidase 1,APX1
654,cytosolic ascorbate peroxidase 2,APX2
655,beta-tubulin,TUB
656,MLO1 protein,MLO1
657,dehydroascorbate reductase,DHAR1
658,ascorbate oxidase,AO
659,sialyltransferase-like protein,stv3
660,EIN3-binding F-box protein 1,EBF1
661,EIN3-binding F-box protein 2,EBF2
662,symbiosis receptor-like kinase,SYMRK
663,protein kinase WEE1,wee1
664,4-amino-4-deoxychorismate lyase,LOC778238
665,auxin response factor 2,ARF2
666,auxin response factor 4,ARF4
667,stress regulated protein,LOC778242
668,putrescine N-methyltransferase,pmt
669,phosphomannomutase,LOC778245
670,monoterpene synthase 1,MTS1
671,monoterpene synthase 2,MTS2
672,CONSTANS interacting protein 2b,CIP2b
673,CONSTANS interacting protein 3,CIP3
674,CONSTANS interacting protein 4,CIP4
675,CONSTANS interacting protein 5,CIP5
676,CONSTANS 1,CO1
677,aromatic amino acid decarboxylase 1A,AADC1A
678,aromatic amino acid decarboxylase 1B,AADC1B
679,aromatic amino acid decarboxylase 2,AADC2
680,RNA polymerase IV largest subunit,RPE1
681,RNA polymerase IV largest subunit,RPD1
682,green ripe,LOC778262
683,green ripe,LOC778263
684,green ripe-like 1,LOC778264
685,green ripe-like 2,LOC778265
686,red chlorophyll catabolite reductase,rccr
687,SCARECROW-like protein,SCL
688,WPP domain associated protein,WAP
689,nitric oxide synthase,NOS1
690,phytophthora-inhibited protease 1,pip1
691,cysteine protease,cp
692,SNF4 protein,SNF4
693,SNF1 protein,SNF1
694,alpha-galactosidase,AGAL
695,MADS-box transcription factor MADS-rin,LOC778278
696,sucrose-phosphatase,LOC778279
697,histone H2B-3,H2B-3
698,histone H1,H1
699,histone H2B,H2B-1
700,ribosomal protein L3,RPL3
701,mitochondrial malate dehydrogenase,mMDH
702,glyoxisomal malate dehydrogenase,gMDH
703,chloroplast malate dehydrogenase,chMDH
704,monodehydroascorbate reductase,MDHAR
705,Ran protein/TC4 protein,RAN1
706,Ran protein/TC4 protein,RAN2
707,Ran protein/TC4 protein,RAN2
708,ACC synthase,ACS3
709,9612 protein,9612
710,chalcone synthase,CHS1
711,chalcone synthase,CHS2
712,PSII polypeptide,PSBR
713,metallothionein-like protein,LOC778298
714,metallothionein-like protein,LOC778299
715,Metallothionein-like protein,LOC778300
